Row,kat_1_1,kat_2_1,kat_3_1,kat_1_2,kat_2_2,kat_3_2,kat_1_3,kat_2_3,kat_3_3,kat_1_4,kat_2_4,kat_3_4,kat_1_5,kat_2_5,kat_3_5,kat_1_6,kat_2_6,kat_3_6,kat_1_7,kat_2_7,kat_3_7
AT1G01380,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0
AT1G29160,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,0
AT1G49130,1,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
AT1G52830,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
AT1G56650,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1
AT1G66140,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1
AT1G72360,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,1,0,0,1
AT1G74500,0,1,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0
AT2G22430,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1
AT2G22770,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
AT2G25820,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1
AT2G37740,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
AT2G40970,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1
AT3G02940,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
AT3G03450,0,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
AT3G17600,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,1,1
AT3G27650,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1
AT3G56970,1,1,1,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0
AT3G60630,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1
AT4G00150,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1
AT4G01250,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
AT4G06746,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1
AT4G14540,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
AT4G25470,1,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
AT4G27900,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1
AT4G29080,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1
AT4G39780,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1
AT5G12870,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0
AT5G19790,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1
AT5G22890,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1
AT5G25890,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1
AT5G58010,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,1
